,Company,Availble Jobs,Average Salary,Rating,Total Reviews
393,Jio,3,62.2k,4.3,(31.5k)
394,Concentrix Corporation,73,1.3L,3.6,(31.3k)
395,Amazon,1.4k,1.4L,3.9,(30.4k)
396,iEnergizer,72,23.9k,4.6,(27.3k)
397,Reliance Retail,33,74.3k,3.9,(26.8k)
398,IBM,2.6k,2.1L,3.9,(25.2k)
399,LTIMindtree,474,1.9L,3.6,(25.2k)
400,TCS,3k,9.6L,3.4,(1.1L)
401,Accenture,32.5k,6.4L,3.7,(70.5k)
402,Wipro,5.6k,4.7L,3.6,(62.6k)
403,Cognizant,836,5.9L,3.6,(59.5k)
404,Capgemini,2.1k,4.7L,3.7,(51.1k)
405,HDFC Bank,198,1.5L,3.8,(50k)
406,Infosys,2.9k,5.1L,3.5,(46.8k)
407,ICICI Bank,32,1.5L,4.0,(44.9k)
408,HCLTech,282,3.7L,3.4,(44k)
409,Tech Mahindra,432,2.8L,3.4,(42k)
410,Genpact,371,2.3L,3.6,(40.4k)
411,Teleperformance,850,95.1k,3.8,(36.2k)
412,Axis Bank,219,1L,3.6,(32k)
413,Jio,3,62.2k,4.3,(31.5k)
414,Concentrix Corporation,73,1.3L,3.6,(31.3k)
415,Amazon,1.4k,1.4L,3.9,(30.4k)
416,iEnergizer,72,23.9k,4.6,(27.3k)
417,Reliance Retail,33,74.3k,3.9,(26.8k)
418,IBM,2.6k,2.1L,3.9,(25.2k)
419,LTIMindtree,474,1.9L,3.6,(25.2k)
420,TCS,3k,9.6L,3.4,(1.1L)
421,Accenture,32.5k,6.4L,3.7,(70.5k)
422,Wipro,5.6k,4.7L,3.6,(62.6k)
423,Cognizant,836,5.9L,3.6,(59.5k)
424,Capgemini,2.1k,4.7L,3.7,(51.1k)
425,HDFC Bank,198,1.5L,3.8,(50k)
426,Infosys,2.9k,5.1L,3.5,(46.8k)
427,ICICI Bank,32,1.5L,4.0,(44.9k)
428,HCLTech,282,3.7L,3.4,(44k)
